epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1705,0.43042,2.5155,1.11262,0.54579,0.48758,0.42016,0.37892,0.38192,1.73489,0.96964,0.000254065,0.000254065,0.000254065
2,61.2778,0.317,1.51346,1.00654,0.40144,0.65356,0.47321,0.43699,0.35408,1.59768,0.93593,0.000500292,0.000500292,0.000500292
3,89.6562,0.30572,1.24051,0.99084,0.68272,0.57538,0.64049,0.56856,0.40243,0.96657,0.96905,0.000736369,0.000736369,0.000736369
4,118.247,0.29463,1.08929,0.98679,0.48877,0.75136,0.63543,0.60186,0.3251,1.08022,0.86196,0.000723321,0.000723321,0.000723321
5,147.487,0.28562,0.97713,0.98173,0.50538,0.82416,0.69002,0.6545,0.32961,1.24984,0.87143,0.000708095,0.000708095,0.000708095
6,177.066,0.26516,0.86868,0.96818,0.61336,0.74554,0.7509,0.71483,0.3393,0.64737,0.88055,0.000692869,0.000692869,0.000692869
7,206.28,0.26608,0.83715,0.96608,0.64731,0.73034,0.74019,0.6985,0.32961,0.80836,0.85642,0.000677643,0.000677643,0.000677643
8,235.668,0.25506,0.76631,0.95717,0.70992,0.81047,0.76709,0.72847,0.31754,0.65564,0.85378,0.000662417,0.000662417,0.000662417
9,265.768,0.23492,0.68812,0.95322,0.75904,0.76604,0.79283,0.75695,0.29247,0.52979,0.81527,0.00064719,0.00064719,0.00064719
10,296.156,0.24144,0.67119,0.95363,0.73599,0.82669,0.83765,0.79462,0.32483,0.52061,0.86991,0.000631964,0.000631964,0.000631964
11,325.796,0.23681,0.64093,0.9539,0.77793,0.79039,0.85816,0.82292,0.31014,0.51597,0.84172,0.000616738,0.000616738,0.000616738
12,355.022,0.23173,0.60804,0.95283,0.81512,0.81383,0.88041,0.83591,0.31186,0.47245,0.83561,0.000601512,0.000601512,0.000601512
13,384.556,0.23399,0.59853,0.95116,0.81339,0.79612,0.8567,0.82241,0.31034,0.53571,0.84771,0.000586286,0.000586286,0.000586286
14,414.409,0.21142,0.55199,0.94322,0.84842,0.80873,0.85351,0.80283,0.30989,0.54346,0.84723,0.000571059,0.000571059,0.000571059
15,444.484,0.22079,0.5522,0.94961,0.84244,0.82379,0.84637,0.80393,0.37224,0.49306,0.92166,0.000555833,0.000555833,0.000555833
16,473.779,0.21904,0.52441,0.94158,0.89447,0.81277,0.87365,0.82719,0.35686,0.49904,0.87963,0.000540607,0.000540607,0.000540607
